transicao,CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,taxa_real,taxa_prev,mat_t1,alunos_real,alunos_prev,residuo_alunos
2022-2023,26040948,ESCOLA DE REFERENCIA EM ENSINO MEDIO CAPITAO NESTOR VALGUEIRO DE CARVALHO,Floresta,0.0,0.2247181534767151,298.0,0.0,0.6696600973606109,-0.6696600973606109
2022-2023,26040956,ESCOLA TECNICA ESTADUAL DEPUTADO AFONSO FERRAZ,Floresta,0.0,0.308997243642807,194.0,0.0,0.5994546526670456,-0.5994546526670456
2022-2023,26040972,ESCOLA JULIO DE MELLO,Floresta,0.0,0.22814498841762543,272.0,0.0,0.6205543684959411,-0.6205543684959411
2022-2023,26041200,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO TRES MARIAS,Floresta,6.7,1.945259690284729,133.0,8.911000000000001,2.5871953880786895,6.323804611921312
2022-2023,26041529,ESCOLA MENINO JESUS,Floresta,1.5,13.817951202392578,104.0,1.56,14.370669250488282,-12.810669250488282
2022-2023,26155435,ESCOLA JOAQUIM ROSENO DOS SANTOS,Floresta,26.5,8.366277694702148,87.0,23.055,7.2786615943908695,15.776338405609131
2022-2023,26419823,ESCOLA ESTADUAL TERESINHA DE SOUZA LIRA,Floresta,0.0,0.28652817010879517,69.0,0.0,0.19770443737506865,-0.19770443737506865
2022-2023,26419831,ESCOLA ESTADUAL JOSE FERREIRA DA SILVA,Floresta,32.5,12.501485824584961,46.0,14.950000000000001,5.750683479309082,9.19931652069092
2022-2023,26063522,ESCOLA TEOFILO SEVERINO DE ARRUDA,Frei Miguelinho,0.5,0.35542842745780945,253.0,1.2650000000000001,0.899233921468258,0.36576607853174214
2022-2023,26063530,ESCOLA DE REFERENCIA EM ENSINO MEDIO SAO JOSE,Frei Miguelinho,0.0,0.1788739711046219,289.0,0.0,0.5169457764923572,-0.5169457764923572
2022-2023,26099853,ESCOLA DE REFERENCIA EM ENSINO MEDIO DOUTOR JAIME MONTEIRO,Gameleira,0.7,0.22814498841762543,309.0,2.163,0.7049680142104626,1.4580319857895372
2022-2023,26165783,ESCOLA ESTADUAL NOSSA SENHORA DA PENHA,Gameleira,0.0,0.5097150802612305,288.0,0.0,1.4679794311523438,-1.4679794311523438
2022-2023,26075385,ESCOLA DE REFERENCIA EM ENSINO MEDIO FRANCISCO MADEIROS,Garanhuns,6.8,2.538663387298584,532.0,36.176,13.505689220428467,22.670310779571537
2022-2023,26075687,ESCOLA DE REFERENCIA EM ENSINO MEDIO DOM JOAO DA MATA AMARAL,Garanhuns,3.8,1.5490944385528564,738.0,28.044,11.432316956520081,16.61168304347992
